T_min,T_avg,T_max,Angle,,,,,,,,
-6.77,-6.61,-6.45,-19.85,,,,,,,,
-6.65,-6.57,-6.49,-19.12,,,,,,,,
-6.35,-6.25,-6.15,-16.74,,,,,,,,
-6.02,-5.87,-5.71,-16.03,,,,,,,,
-5.52,-5.36,-5.19,-15.61,,,,,,,,
-5.05,-5.00,-4.94,-14.04,,,,,,,,
-4.71,-4.56,-4.41,-13.24,,,,,,,,
-4.32,-4.28,-4.23,-12.50,,,,,,,,
-4.13,-4.01,-3.88,-11.89,,,,,,,,
-3.89,-3.82,-3.74,-11.11,,,,,,,,
-3.67,-3.61,-3.54,-10.36,,,,,,,,
-3.57,-3.50,-3.43,-9.84,,,,,,,,
-3.37,-3.32,-3.26,-9.27,,,,,,,,
-3.15,-3.03,-2.91,-8.89,,,,,,,,
-2.95,-2.86,-2.77,-8.27,,,,,,,,
-2.68,-2.54,-2.40,-7.71,,,,,,,,
-2.54,-2.38,-2.22,-6.85,,,,,,,,
-2.24,-2.15,-2.06,-6.08,,,,,,,,
-2.08,-2.01,-1.93,-5.54,,,,,,,,
-1.88,-1.79,-1.70,-5.02,,,,,,,,
-1.68,-1.60,-1.52,-4.42,,,,,,,,
-1.39,-1.34,-1.29,-3.70,,,,,,,,
-1.19,-1.08,-0.96,-3.14,,,,,,,,
-1.06,-0.94,-0.82,-2.66,,,,,,,,
-0.78,-0.72,-0.65,-1.99,,,,,,,,
-0.46,-0.44,-0.42,-1.38,,,,,,,,
-0.05,-0.03,-0.01,-0.46,,,,,,,,
0.00,0.00,0.00,0.00,,,,,,,,
0.56,0.42,0.28,1.20,,,,,,,,
0.86,0.95,1.03,2.73,,,,,,,,
1.28,1.33,1.38,4.12,,,,,,,,
1.64,1.74,1.83,5.15,,,,,,,,
2.03,2.15,2.27,6.09,,,,,,,,
2.31,2.38,2.44,7.33,,,,,,,,
2.49,2.58,2.67,7.92,,,,,,,,
2.86,2.97,3.07,8.71,,,,,,,,
3.39,3.50,3.61,10.47,,,,,,,,
3.77,3.86,3.94,11.84,,,,,,,,
4.11,4.23,4.34,12.41,,,,,,,,
4.51,4.62,4.73,13.06,,,,,,,,
4.97,5.07,5.16,14.60,,,,,,,,
5.39,5.47,5.54,15.39,,,,,,,,
5.86,5.92,5.97,16.10,,,,,,,,
6.13,6.24,6.35,16.80,,,,,,,,
6.20,6.30,6.40,19.77,,,,,,,,
6.45,6.56,6.67,20.09,,,,,,,,
6.46,6.59,6.71,20.18,,,,,,,,
